segment_id,density_level,peak_1_start,peak_1_end,peak_2_start,peak_2_end
Phan Văn Định,Low,6.5,8.5,16.5,18.5
Cầu Thuận Phước,Medium,7.0,9.5,16.5,19.5
Đường Hà Huy Tập,Medium,7.0,9.5,16.5,19.5
Đường Tôn Đức Thắng,High,10.5,13.5,16.0,19.5
Đường Nguyễn Văn Linh,Medium,7.0,9.5,16.5,19.5
Đường Núi Thành,High,11.5,13.5,17.5,22.0
Đường Võ Nguyên Giáp,Medium,7.0,9.5,16.5,19.5
Đường Vũ Trọng Hoàng,Medium,7.0,9.5,16.5,19.5
Đường Lê Duẩn,High,11.5,13.5,17.5,22.0
Đường Lý Nam Đế,Medium,7.0,9.5,16.5,19.5
Cầu vượt Ngã ba Huế,High,10.5,13.5,16.0,19.0
Đường Đống Đa,Medium,7.0,9.5,16.5,19.5
Đường Ngô Quyền,Low,6.5,8.5,16.0,18.0
Hầm chui Điện Biên Phủ,Low,6.5,8.5,16.0,18.0
Đường Điện Biên Phủ,High,11.5,13.5,17.5,22.0
Đường Trường Sa,Low,6.5,8.5,16.0,18.0
Đường Nguyễn Lương Bằng,High,10.5,13.0,16.5,19.5
Võ Nguyên Giáp,Medium,7.0,9.5,16.5,19.5
Đường Bạch Đằng,Medium,7.0,9.5,16.5,19.5
Đường Huỳnh Thúc Kháng,High,11.5,13.5,17.5,22.0
Đường Phan Văn Định,Low,6.5,8.5,16.5,18.5
Ngô Quyền,Low,6.5,8.5,16.0,18.0
Đường Trần Phú,Medium,7.0,9.5,16.5,19.5
