epoch,learning_rate,train_loss,train_silhouette,train_recall_5,test_loss,test_silhouette,test_recall_5,train_pos_sim,train_neg_sim,test_pos_sim,test_neg_sim,is_best_model
1,1e-05,0.04298301461144214,-0.222407728433609,0.6723404255319149,0.33469742839224637,-0.06262366473674774,0.8297872340425532,0.7036629679726392,-0.030888053064238814,0.7581837952136994,0.2988571532070637,No
2,1e-05,0.01619595968286598,-0.2092641294002533,0.6734042553191489,0.2746953008230776,-0.04990362748503685,0.8297872340425532,0.7031823536244834,-0.12157151118295675,0.7793040454387665,0.3135492607951164,No
3,1e-05,0.019815031642011913,-0.20804882049560547,0.6542553191489362,0.45366161651909354,-0.07217341661453247,0.8297872340425532,0.7032929641444509,-0.09403920260757753,0.7641323208808899,0.3803667798638344,No
4,5e-06,0.009880350542924844,-0.21297279000282288,0.6627659574468086,0.3069052764447406,-0.07060243934392929,0.8723404255319149,0.7118404397150365,-0.13751063102447406,0.8151009142398834,0.3919233694672585,No
5,5e-06,0.01074187107591481,-0.22230637073516846,0.6648936170212766,0.32343559311702846,-0.06847169250249863,0.8297872340425532,0.7113646313911531,-0.12629231847226394,0.8081750929355621,0.35978901833295823,No
6,5e-06,0.008812786921789223,-0.22375808656215668,0.65,0.33454429153352977,-0.07252732664346695,0.7872340425531915,0.7163255342623083,-0.13666841866244084,0.7677019476890564,0.33868235871195795,No
7,2.5e-06,0.011310351093543876,-0.21212531626224518,0.6446808510638298,0.2777914199745283,-0.06122482195496559,0.7872340425531915,0.7151655877508768,-0.1347998927517726,0.7821592330932617,0.3160802245140076,No
8,2.5e-06,0.009020244860034946,-0.21060067415237427,0.6478723404255319,0.2519288879586384,-0.08548878878355026,0.8085106382978723,0.7070008228464825,-0.1360454113131798,0.7746388494968415,0.3032621588557959,Yes
9,2.5e-06,0.013101408572827761,-0.2236221581697464,0.6638297872340425,0.31257738955318926,-0.06201262027025223,0.8085106382978723,0.7106106618555581,-0.12875260770741123,0.7683031678199768,0.31408270467072724,No
10,1.25e-06,0.008888758249118039,-0.2280147820711136,0.6659574468085107,0.322680429747561,-0.07063908129930496,0.8085106382978723,0.7184021676458964,-0.13342277294297408,0.8088587701320649,0.37296262783929707,No
